Computer	RegKey	DisplayName	DisplayVersion	Publisher	QuietDisplayName	InstallDate	InstallSource
PCNAME	KB2758857	Security Update for Windows XP (KB2758857)	1	Microsoft Corporation		20121217	
PCNAME	KB2761226	Security Update for Windows XP (KB2761226)	1	Microsoft Corporation		20121122	
PCNAME	KB2761465-IE7	Security Update for Windows Internet Explorer 7 (KB2761465)	1	Microsoft Corporation		20121219	
PCNAME	KB2761465-IE8	Security Update for Windows Internet Explorer 8 (KB2761465)	1	Microsoft Corporation		20130128	
PCNAME	KB2770660	Security Update for Windows XP (KB2770660)	1	Microsoft Corporation		20121217	
PCNAME	KB2778344	Security Update for Windows XP (KB2778344)	1	Microsoft Corporation		20130225	
PCNAME	KB2779030	Security Update for Windows XP (KB2779030)	1	Microsoft Corporation		20121217	
PCNAME	KB2780091	Security Update for Windows XP (KB2780091)	1	Microsoft Corporation		20130225	
PCNAME	KB2792100-IE8	Security Update for Windows Internet Explorer 8 (KB2792100)	1	Microsoft Corporation		20130225	
PCNAME	KB2797052-IE8	Security Update for Windows Internet Explorer 8 (KB2797052)	1	Microsoft Corporation		20130225	
PCNAME	KB2799329-IE7	Security Update for Windows Internet Explorer 7 (KB2799329)	1	Microsoft Corporation		20130117	
PCNAME	KB2799329-IE8	Security Update for Windows Internet Explorer 8 (KB2799329)	1	Microsoft Corporation		20130128	
PCNAME	KB2799494	Security Update for Windows XP (KB2799494)	1	Microsoft Corporation		20130225	
PCNAME	KB2802968	Security Update for Windows XP (KB2802968)	1	Microsoft Corporation		20130225	
PCNAME	KB2807986	Security Update for Windows XP (KB2807986)	1	Microsoft Corporation		20130318	
PCNAME	KB2809289-IE8	Security Update for Windows Internet Explorer 8 (KB2809289)	1	Microsoft Corporation		20130318	
PCNAME	KB892130	Windows Genuine Advantage Validation Tool (KB892130)		Microsoft Corporation		20100906	
PCNAME	KB898461	Update for Windows XP (KB898461)	1	Microsoft Corporation			
PCNAME	KB923561	Security Update for Windows XP (KB923561)	1	Microsoft Corporation		20100906	
PCNAME	KB929399	Hotfix for Windows Media Format 11 SDK (KB929399)		Microsoft Corporation		20100906	
PCNAME	KB931906	Security Update for CAPICOM (KB931906)	2.1.0.2	Microsoft Corporation			
PCNAME	KB938127-v2-IE7	Security Update for Windows Internet Explorer 7 (KB938127-v2)	2	Microsoft Corporation		20100906	
PCNAME	KB939683	Hotfix for Windows Media Player 11 (KB939683)		Microsoft Corporation		20100906	
PCNAME	KB941569	Security Update for Windows XP (KB941569)		Microsoft Corporation		20100906	
PCNAME	KB942288-v3	Hotfix for Windows XP (KB942288-v3)	3	Microsoft Corporation		20100906	
PCNAME	KB943729	Update for Windows XP (KB943729)		Microsoft Corporation		20100906	
PCNAME	KB950760	Security Update for Windows XP (KB950760)	1	Microsoft Corporation		20100906	
PCNAME	KB950762	Security Update for Windows XP (KB950762)	1	Microsoft Corporation		20100906	
PCNAME	KB950974	Security Update for Windows XP (KB950974)	1	Microsoft Corporation		20100906	
PCNAME	KB951376-v2	Security Update for Windows XP (KB951376-v2)	2	Microsoft Corporation		20100906	
PCNAME	KB951748	Security Update for Windows XP (KB951748)	1	Microsoft Corporation		20100906	
PCNAME	KB951978	Update for Windows XP (KB951978)	1	Microsoft Corporation		20100906	
PCNAME	KB952004	Security Update for Windows XP (KB952004)	1	Microsoft Corporation		20100906	
PCNAME	KB952069_WM9	Security Update for Windows Media Player (KB952069)		Microsoft Corporation		20100906	
PCNAME	KB952287	Hotfix for Windows XP (KB952287)	1	Microsoft Corporation		20100906	
PCNAME	KB952954	Security Update for Windows XP (KB952954)	1	Microsoft Corporation		20100906	
PCNAME	KB954154_WM11	Security Update for Windows Media Player 11 (KB954154)		Microsoft Corporation		20100906	
PCNAME	KB954155_WM9	Security Update for Windows Media Player (KB954155)		Microsoft Corporation		20100906	
PCNAME	KB954459	Security Update for Windows XP (KB954459)	1	Microsoft Corporation		20100906	
PCNAME	KB954550-v5	Hotfix for Windows XP (KB954550-v5)	5	Microsoft Corporation		20100906	
PCNAME	KB955759	Update for Windows XP (KB955759)	1	Microsoft Corporation		20100906	
PCNAME	KB956572	Security Update for Windows XP (KB956572)	1	Microsoft Corporation		20100906	
PCNAME	KB956744	Security Update for Windows XP (KB956744)	1	Microsoft Corporation		20100906	
PCNAME	KB956802	Security Update for Windows XP (KB956802)	1	Microsoft Corporation		20100906	
PCNAME	KB956803	Security Update for Windows XP (KB956803)	1	Microsoft Corporation		20100906	
PCNAME	KB956844	Security Update for Windows XP (KB956844)	1	Microsoft Corporation		20100906	
PCNAME	KB958644	Security Update for Windows XP (KB958644)	1	Microsoft Corporation		20100906	
PCNAME	KB958869	Security Update for Windows XP (KB958869)	1	Microsoft Corporation		20100906	
PCNAME	KB959426	Security Update for Windows XP (KB959426)	1	Microsoft Corporation		20100906	
PCNAME	KB960803	Security Update for Windows XP (KB960803)	1	Microsoft Corporation		20100906	
PCNAME	KB960859	Security Update for Windows XP (KB960859)	1	Microsoft Corporation		20100906	
PCNAME	KB961118	Hotfix for Windows XP (KB961118)	1	Microsoft Corporation		20100907	
