CRI#	Location	Date	Protocol	Date	Time	Site(s)	Length	Date/Time Processed																																																			
65500569	20205001	TYPE A	Lobeta v1.3	17.07.07	10.49.34	S#1 	897	11.28.07.17.53.33.EST																																																			
1 Hz	2 Hz	3 Hz	4 Hz	5 Hz	6 Hz	7 Hz	8 Hz	9 Hz	10 Hz	11 Hz	12 Hz	13 Hz	14 Hz	15 Hz	16 Hz	17 Hz	18 Hz	19 Hz	20 Hz	21 Hz	22 Hz	23 Hz	24 Hz	25 Hz	26 Hz	27 Hz	28 Hz	29 Hz	30 Hz	31 Hz	32 Hz	33 Hz	34 Hz	35 Hz	36 Hz	37 Hz	38 Hz	39 Hz	40 Hz	41 Hz	42 Hz	43 Hz	44 Hz	45 Hz	46 Hz	47 Hz	48 Hz	49 Hz	50 Hz	51 Hz	52 Hz	53 Hz	54 Hz	55 Hz	56 Hz	57 Hz	58 Hz	59 Hz	60 Hz
4.09711	4.09711	0.79348123	0.22125919	0.49592578	0.24414808	0.015259255	0.0839259	0.14496292	0.099185154	0.053407393	0.099185154	0.022888882	0.022888882	0	0.007629627	0.015259255	0.053407393	0.03051851	0.045777764	0.11444441	0.053407393	0.0839259	0.10681479	0.053407393	0.053407393	0.099185154	0.06103702	0.053407393	0.09155553	0.07629627	0.06103702	0.10681479	0.10681479	0.07629627	0.09155553	0.09155553	0.09155553	0.09155553	0.10681479	0.07629627	0.06103702	0.053407393	0.053407393	0.06103702	0.06103702	0.068666644	0.068666644	0.053407393	0.06103702	0.06103702	0.06103702	0.053407393	0.068666644	0.053407393	0.09155553	0.10681479	0.07629627	0.11444441	0.0839259
4.387036	4.387036	1.0528886	0.053407393	0.48066652	0.34333324	0.068666644	0.015259255	0.10681479	0.17548142	0.038148135	0.07629627	0.07629627	0.007629627	0.015259255	0.015259255	0.022888882	0.015259255	0.07629627	0.0839259	0.045777764	0.13733329	0.099185154	0.053407393	0.099185154	0.099185154	0.06103702	0.068666644	0.11444441	0.07629627	0.06103702	0.09155553	0.13733329	0.099185154	0.09155553	0.12207404	0.099185154	0.099185154	0.12970367	0.11444441	0.099185154	0.07629627	0.06103702	0.068666644	0.068666644	0.068666644	0.068666644	0.068666644	0.068666644	0.06103702	0.07629627	0.07629627	0.053407393	0.068666644	0.09155553	0.06103702	0.12207404	0.13733329	0.099185154	0.12207404
4.646443	4.646443	1.3122959	0.1678518	0.39674062	0.4196295	0.16022217	0.053407393	0.03051851	0.17548142	0.15259254	0.022888882	0.068666644	0.045777764	0.007629627	0.007629627	0.045777764	0.053407393	0.03051851	0.0839259	0.14496292	0.068666644	0.10681479	0.13733329	0.053407393	0.053407393	0.09155553	0.12970367	0.07629627	0.068666644	0.099185154	0.13733329	0.11444441	0.11444441	0.14496292	0.10681479	0.099185154	0.11444441	0.15259254	0.13733329	0.11444441	0.09155553	0.06103702	0.068666644	0.07629627	0.068666644	0.07629627	0.0839259	0.0839259	0.068666644	0.068666644	0.0839259	0.09155553	0.06103702	0.099185154	0.11444441	0.07629627	0.16022217	0.16022217	0.099185154
4.875332	4.875332	1.5640736	0.4196295	0.2517777	0.43488875	0.24414808	0.12207404	0.09155553	0.07629627	0.19837031	0.10681479	0.015259255	0.053407393	0.007629627	0.022888882	0.015259255	0.053407393	0.099185154	0.07629627	0.068666644	0.17548142	0.13733329	0.06103702	0.12207404	0.12207404	0.11444441	0.0839259	0.0839259	0.12207404	0.12970367	0.10681479	0.11444441	0.1678518	0.14496292	0.10681479	0.10681479	0.13733329	0.1678518	0.14496292	0.12970367	0.099185154	0.06103702	0.07629627	0.0839259	0.0839259	0.0839259	0.099185154	0.0839259	0.09155553	0.07629627	0.09155553	0.09155553	0.099185154	0.099185154	0.12207404	0.15259254	0.099185154	0.19074069	0.18311106
5.0737023	5.0737023	1.7929624	0.6866665	0.06103702	0.38911098	0.28992584	0.16022217	0.19074069	0.07629627	0.12970367	0.1678518	0.068666644	0.015259255	0.03051851	0.015259255	0.053407393	0.03051851	0.038148135	0.12970367	0.17548142	0.09155553	0.11444441	0.1678518	0.07629627	0.07629627	0.068666644	0.10681479	0.16022217	0.11444441	0.09155553	0.10681479	0.1678518	0.19837031	0.13733329	0.10681479	0.12207404	0.1678518	0.16022217	0.15259254	0.12970367	0.11444441	0.068666644	0.0839259	0.0839259	0.099185154	0.09155553	0.09155553	0.10681479	0.10681479	0.09155553	0.07629627	0.099185154	0.10681479	0.099185154	0.099185154	0.1678518	0.19837031	0.13733329	0.19837031
5.2262945	5.2262945	1.9913328	0.9537034	0.20599994	0.26703694	0.28992584	0.15259254	0.22888882	0.23651844	0.045777764	0.12207404	0.12207404	0.053407393	0.015259255	0.015259255	0.045777764	0.09155553	0.099185154	0.068666644	0.09155553	0.22125919	0.18311106	0.0839259	0.11444441	0.11444441	0.15259254	0.15259254	0.11444441	0.0839259	0.099185154	0.16022217	0.22125919	0.1678518	0.13733329	0.12970367	0.16022217	0.18311106	0.19074069	0.18311106	0.16022217	0.12207404	0.07629627	0.09155553	0.099185154	0.12207404	0.09155553	0.099185154	0.11444441	0.11444441	0.12207404	0.099185154	0.0839259	0.10681479	0.13733329	0.14496292	0.10681479	0.21362957	0.22888882	0.17548142
5.32548	5.32548	2.1515548	1.1978515	0.48829615	0.068666644	0.23651844	0.10681479	0.1678518	0.32044435	0.20599994	0.03051851	0.07629627	0.0839259	0.015259255	0.045777764	0.03051851	0.038148135	0.09155553	0.17548142	0.19837031	0.10681479	0.12207404	0.19074069	0.14496292	0.14496292	0.099185154	0.09155553	0.11444441	0.16022217	0.1678518	0.19074069	0.17548142	0.1678518	0.16022217	0.17548142	0.18311106	0.1678518	0.19837031	0.21362957	0.19074069	0.12207404	0.0839259	0.099185154	0.11444441	0.12970367	0.11444441	0.10681479	0.10681479	0.12970367	0.11444441	0.12970367	0.11444441	0.09155553	0.15259254	0.16022217	0.20599994	0.18311106	0.22888882	0.24414808
5.378887	5.378887	2.25074	1.3962218	0.76296276	0.18311106	0.12207404	0.03051851	0.045777764	0.2517777	0.32044435	0.16022217	0.038148135	0.038148135	0.053407393	0.015259255	0.09155553	0.09155553	0.068666644	0.06103702	0.14496292	0.2822962	0.23651844	0.11444441	0.09155553	0.09155553	0.11444441	0.17548142	0.21362957	0.1678518	0.11444441	0.15259254	0.18311106	0.21362957	0.23651844	0.18311106	0.15259254	0.19074069	0.20599994	0.22125919	0.22125919	0.12207404	0.0839259	0.10681479	0.12970367	0.13733329	0.13733329	0.10681479	0.11444441	0.12207404	0.13733329	0.12970367	0.13733329	0.14496292	0.10681479	0.15259254	0.22125919	0.24414808	0.2822962	0.17548142
5.363628	5.363628	2.2812586	1.5335552	1.0071108	0.45777765	0.045777764	0.038148135	0.16022217	0.068666644	0.26703694	0.24414808	0.13733329	0.053407393	0.03051851	0.045777764	0.03051851	0.09155553	0.13733329	0.21362957	0.21362957	0.12970367	0.14496292	0.19837031	0.19837031	0.19837031	0.19074069	0.1678518	0.14496292	0.10681479	0.11444441	0.16022217	0.24414808	0.3128147	0.22125919	0.1678518	0.1678518	0.18311106	0.2517777	0.25940734	0.23651844	0.13733329	0.09155553	0.11444441	0.14496292	0.13733329	0.15259254	0.13733329	0.11444441	0.12207404	0.12207404	0.14496292	0.15259254	0.14496292	0.17548142	0.1678518	0.13733329	0.24414808	0.34333324	0.32807398
5.2873316	5.2873316	2.2354808	1.5945921	1.1749626	0.71718496	0.22125919	0.10681479	0.30518508	0.23651844	0.07629627	0.17548142	0.15259254	0.11444441	0.03051851	0.07629627	0.0839259	0.045777764	0.053407393	0.09155553	0.21362957	0.34333324	0.30518508	0.1678518	0.10681479	0.10681479	0.099185154	0.12970367	0.16022217	0.19837031	0.17548142	0.24414808	0.32807398	0.2517777	0.20599994	0.15259254	0.16022217	0.22125919	0.26703694	0.32044435	0.24414808	0.15259254	0.099185154	0.12207404	0.16022217	0.15259254	0.15259254	0.16022217	0.15259254	0.12970367	0.12970367	0.12207404	0.12970367	0.16022217	0.19074069	0.19837031	0.25940734	0.28992584	0.21362957	0.35096285
5.1499987	5.1499987	2.1057773	1.5564439	1.2436292	0.90792567	0.41199988	0.13733329	0.34333324	0.46540728	0.23651844	0.053407393	0.045777764	0.07629627	0.0839259	0.022888882	0.11444441	0.13733329	0.1678518	0.22888882	0.21362957	0.16022217	0.17548142	0.19837031	0.19837031	0.19837031	0.22125919	0.24414808	0.27466658	0.22888882	0.17548142	0.23651844	0.26703694	0.23651844	0.22125919	0.19074069	0.19074069	0.23651844	0.3128147	0.35859248	0.2517777	0.1678518	0.099185154	0.12970367	0.17548142	0.17548142	0.15259254	0.1678518	0.18311106	0.17548142	0.16022217	0.13733329	0.12207404	0.12970367	0.1678518	0.21362957	0.27466658	0.34333324	0.4196295	0.3357036
4.936369	4.936369	1.8845179	1.411481	1.1825923	0.98422194	0.5569628	0.13733329	0.22888882	0.5035554	0.45777765	0.23651844	0.10681479	0.038148135	0.053407393	0.09155553	0.038148135	0.053407393	0.068666644	0.14496292	0.29755548	0.41199988	0.38148138	0.23651844	0.18311106	0.18311106	0.16022217	0.1678518	0.18311106	0.14496292	0.12207404	0.19074069	0.25940734	0.28992584	0.26703694	0.22125919	0.21362957	0.2822962	0.38148138	0.37385175	0.28992584	0.17548142	0.10681479	0.13733329	0.19074069	0.19837031	0.18311106	0.17548142	0.17548142	0.19074069	0.19074069	0.19074069	0.18311106	0.19074069	0.18311106	0.17548142	0.17548142	0.23651844	0.43488875	0.43488875
4.661702	4.661702	1.5717032	1.1520737	0.99185157	0.9155553	0.6179998	0.11444441	0.053407393	0.29755548	0.45014802	0.3357036	0.20599994	0.14496292	0.038148135	0.099185154	0.15259254	0.12207404	0.1678518	0.22125919	0.19837031	0.18311106	0.19837031	0.1678518	0.15259254	0.15259254	0.15259254	0.1678518	0.20599994	0.23651844	0.1678518	0.22125919	0.34333324	0.43488875	0.35096285	0.27466658	0.27466658	0.3357036	0.40437025	0.35859248	0.32044435	0.18311106	0.10681479	0.14496292	0.19837031	0.21362957	0.20599994	0.19837031	0.20599994	0.20599994	0.19837031	0.19074069	0.18311106	0.19074069	0.23651844	0.26703694	0.32044435	0.41199988	0.41199988	0.27466658
4.3031096	4.3031096	1.167333	0.7858516	0.6714072	0.67903686	0.5645924	0.07629627	0.27466658	0.12207404	0.19074069	0.22888882	0.15259254	0.12970367	0.12970367	0.038148135	0.11444441	0.12970367	0.13733329	0.24414808	0.38148138	0.48829615	0.46540728	0.3128147	0.28992584	0.28992584	0.2822962	0.30518508	0.35096285	0.29755548	0.22888882	0.32807398	0.48066652	0.42725915	0.28992584	0.24414808	0.26703694	0.34333324	0.38911098	0.4196295	0.3357036	0.18311106	0.11444441	0.15259254	0.20599994	0.22888882	0.21362957	0.20599994	0.21362957	0.22125919	0.21362957	0.21362957	0.21362957	0.22125919	0.2517777	0.2822962	0.3357036	0.45014802	0.5264443	0.54933316
3.8758507	3.8758507	0.67903686	0.3128147	0.22888882	0.29755548	0.38148138	0.038148135	0.48066652	0.5264443	0.22125919	0.07629627	0.045777764	0.038148135	0.0839259	0.15259254	0.0839259	0.06103702	0.12207404	0.17548142	0.20599994	0.21362957	0.22888882	0.18311106	0.14496292	0.14496292	0.15259254	0.19074069	0.22888882	0.19837031	0.15259254	0.27466658	0.38148138	0.37385175	0.2822962	0.23651844	0.24414808	0.32044435	0.4196295	0.45014802	0.3357036	0.19837031	0.11444441	0.16022217	0.21362957	0.22888882	0.20599994	0.19074069	0.19074069	0.18311106	0.17548142	0.1678518	0.1678518	0.1678518	0.18311106	0.19074069	0.22125919	0.27466658	0.38911098	0.5645924
