LOnwf001;DateLock Fri 26/05/2006  ;lotcc902;sn_deeyn;lo.indosuez;00-00-00-00-00-00;10.136.59.66;5.0;EVOX62KW2KV2.41
LOnwf001;DateLock Fri 26/05/2006  ;lotcc903;sn_chdil;lo.indosuez;00-00-00-00-00-00;10.136.59.67;5.0;EVOX62KW2KV2.41
LOnwf001;DateLock Wed 24/05/2006  ;lotcc904;sn_pehal;lo.indosuez;00-00-00-00-00-00;10.136.59.68;5.0;EVOX62KW2KV2.41
LOnwf001;DateLock Fri 26/05/2006  ;LOWKS901;pecub;lo.indosuez;00-00-00-00-00-00;10.136.59.101;5.0;EVOX6000W2Kv2.32
LOnwf001;DateLock Fri 26/05/2006  ;lowks902;maalf;lo.indosuez;00-00-00-00-00-00;10.136.59.102;5.0;EVOX62KW2KV2.41
LOnwf001;DateLock Fri 26/05/2006  ;LOWKS903;mtjoh;lo.indosuez;00-00-00-00-00-00;10.136.59.103;5.0;EVOX6000W2Kv2.32
LOnwf001;DateLock Fri 26/05/2006  ;lowks904;wowie;lo.indosuez;00-00-00-00-00-00;10.136.59.104;5.0;EVOX62KW2KV2.41
LOnwf001;DateLock Fri 26/05/2006  ;LOWKS905;brhay;lo.indosuez;00-00-00-00-00-00;10.136.59.105;5.0;EVOX6000W2Kv2.32
LOnwf001;DateLock Fri 26/05/2006  ;lowks906;fegra;lo.indosuez;00-00-00-00-00-00;10.136.59.106;5.0;EVOW6000W2KV2.32
LOnwf001;DateLock Fri 26/05/2006  ;LOWKS908;pa_chpot;Travel.lo.indosuez;00-00-00-00-00-00;10.136.59.108;5.0;EVOX6000W2Kv2.32
LOnwf001;DateLock Fri 26/05/2006  ;LOWKS909;sachi;lo.indosuez;00-00-00-00-00-00;10.136.59.109;5.0;EVOX6000W2Kv2.32
LOnwf001;DateLock Fri 26/05/2006  ;lowks910;rodic;lo.indosuez;00-00-00-00-00-00;10.136.59.110;5.0;EVOX62KW2KV2.41
LOnwf001;DateLock Fri 26/05/2006  ;LOWKS911;jaarc;lo.indosuez;00-00-00-00-00-00;10.136.59.111;5.0;EVOX6000W2Kv2.32
LOnwf001;DateLock Fri 26/05/2006  ;lowks913;rocor;lo.indosuez;00-00-00-00-00-00;10.136.59.113;5.0;EVOX6000W2Kv2.32
LOnwf001;DateLock Fri 26/05/2006  ;lowks914;maper;lo.indosuez;00-00-00-00-00-00;10.136.59.114;5.0;EVOX62KW2KV2.41
LOnwf001;DateLock Fri 26/05/2006  ;LOWKS915;ratoz;lo.indosuez;00-00-00-00-00-00;10.136.59.115;5.0;EVOX6000W2Kv2.32
