0x0104A4|4|3332|Res|Ina|Ena|Vis|x|Read-only
0x0104A6|4|3332|Res|Ina|Ena|Vis|x|Archive
0x0104A8|3|3332|Res|Ina|Ena|Hid|x|ThunderRT6PictureBoxDC
0x0104AA|4|3332|Res|Ina|Ena|Vis|x|&Browse...
0x0104AC|4|3332|Res|Ina|Ena|Vis|x|ThunderRT6UserControlDC
0x0104AE|5|3332|Res|Ina|Ena|Hid|x|ThunderRT6PictureBoxDC
0x0104B0|5|3332|Res|Ina|Ena|Hid|x|ThunderRT6TextBox
0x0104B2|5|3332|Res|Ina|Ena|Vis|x|ThunderRT6PictureBoxDC
0x0104B4|6|3332|Res|Ina|Ena|Hid|x|ThunderRT6HScrollBar
0x0104B6|6|3332|Res|Ina|Ena|Hid|x|ThunderRT6VScrollBar
0x0104B8|4|3332|Res|Ina|Ena|Vis|x|&Manage...
0x0104BA|4|3332|Res|Ina|Ena|Vis|x|&Add Current
0x0104BC|3|3332|Res|Ina|Ena|Hid|x|ThunderRT6PictureBoxDC
0x0104BE|4|3332|Res|Ina|Ena|Vis|x|Current tab
0x0104C0|4|3332|Res|Ina|Ena|Vis|x|New tab
0x0104C2|4|3332|Res|Ina|Ena|Vis|x|"Search results" tab
0x0104C4|4|3332|Res|Ina|Ena|Vis|x|ThunderRT6ComboBox
0x0104C8|3|3332|Res|Ina|Ena|Hid|x|ThunderRT6PictureBoxDC
0x0104CA|4|3332|Res|Ina|Ena|Vis|x|MB
0x0104CC|4|3332|Res|Ina|Ena|Vis|x|ThunderRT6TextBox
0x0104CE|4|3332|Res|Ina|Ena|Vis|x|ThunderRT6TextBox
0x0104D0|4|3332|Res|Ina|Ena|Vis|x|Bytes
0x0104D2|4|3332|Res|Ina|Ena|Vis|x|KB
0x0104D4|3|3332|Res|Ina|Ena|Vis|x|Name
0x0104D6|3|3332|Res|Ina|Ena|Vis|x|Size
0x0104D8|3|3332|Res|Ina|Ena|Vis|x|Date
0x0104DA|3|3332|Res|Ina|Ena|Vis|x|Excl.
0x0104DC|3|3332|Res|Ina|Ena|Vis|x|Attr.
0x0104DE|3|3332|Res|Ina|Ena|Vis|x|Text
0x0104E0|3|3332|Res|Ina|Ena|Vis|x|F&ind Now
0x0104E2|3|3332|Res|Ina|Ena|Vis|x|Tem&plates...
0x0104E4|3|3332|Res|Ina|Ena|Vis|x|ThunderRT6PictureBoxDC
0x0104E6|2|3332|Res|Ina|Ena|Hid|x|ThunderRT6PictureBoxDC
0x0104E8|3|3332|Res|Ina|Ena|Vis|x|ThunderRT6PictureBoxDC
0x0104EA|4|3332|Res|Ina|Ena|Vis|x|Classic directory d&ump
0x0104EC|4|3332|Res|Ina|Ena|Vis|x|T&ree structure only
0x0104EE|4|3332|Res|Ina|Ena|Vis|x|E&xtended info to CSV
0x0104F0|4|3332|Res|Ina|Ena|Vis|x|ThunderRT6PictureBoxDC
0x0104F2|5|3332|Res|Ina|Ena|Vis|x|&No file version
0x0104F4|5|3332|Res|Ina|Ena|Vis|x|F&ixed file version
0x0104F6|5|3332|Res|Ina|Ena|Vis|x|S&tring file version
0x0104F8|4|3332|Res|Ina|Ena|Vis|x|To File...
0x0104FA|4|3332|Res|Ina|Ena|Vis|x|To Clipboard
0x0104FC|4|3332|Res|Ina|Ena|Vis|x|To Printer...
0x0104FE|4|3332|Res|Ina|Ena|Vis|x|Include &subfolders
0x010500|3|3332|Res|Ina|Ena|Hid|x|ThunderRT6PictureBoxDC
0x010502|4|3332|Res|Ina|Ena|Vis|x|Column &headers
0x010504|4|3332|Res|Ina|Ena|Vis|x|Ta&b
0x010506|4|3332|Res|Ina|Ena|Vis|x|&Other:
0x010508|4|3332|Res|Ina|Ena|Vis|x|, 
0x01050A|4|3332|Res|Ina|Ena|Vis|x|C&urrent date
0x01050C|4|3332|Res|Ina|Ena|Vis|x|Path (F&ind settings)
0x01050E|4|3332|Res|Ina|Ena|Vis|x|&Pad blanks
0x010510|4|3332|Res|Ina|Ena|Vis|x|To File...
0x010512|4|3332|Res|Ina|Ena|Vis|x|To Clipboard
0x010514|4|3332|Res|Ina|Ena|Vis|x|&Selected files only
0x010516|4|3332|Res|Ina|Ena|Vis|x|To Printer...
0x010518|3|3332|Res|Ina|Dis|Hid|x|ThunderRT6ListBox
0x01051A|3|3332|Res|Ina|Ena|Vis|x|ThunderRT6PictureBoxDC
0x01051C|2|3332|Res|Ina|Ena|Hid|x|ThunderRT6PictureBoxDC
0x01051E|3|3332|Res|Ina|Ena|Vis|x|ThunderRT6PictureBoxDC
0x010520|3|3332|Res|Ina|Dis|Vis|x|Encrypted
0x010522|3|3332|Res|Ina|Dis|Vis|x|Compressed
0x010524|3|3332|Res|Ina|Dis|Vis|x|Temporary
0x010526|3|3332|Res|Ina|Dis|Vis|x|Normal
0x010528|3|3332|Res|Ina|Dis|Vis|x|Folder
0x01052A|3|3332|Res|Ina|Ena|Vis|x|System
0x01052C|3|3332|Res|Ina|Ena|Vis|x|Archive
0x01052E|3|3332|Res|Ina|Ena|Vis|x|Hidden
0x010530|3|3332|Res|Ina|Ena|Vis|x|Read-only
0x010532|3|3332|Res|Ina|Ena|Hid|x|ThunderRT6TextBox
0x010534|3|3332|Res|Ina|Ena|Hid|x|ThunderRT6HScrollBar
0x010536|3|3332|Res|Ina|Ena|Vis|x|ThunderRT6PictureBoxDC
0x010538|3|3332|Res|Ina|Ena|Hid|x|ThunderRT6PictureBoxDC
0x01053A|3|3332|Res|Ina|Ena|Vis|x|ThunderRT6PictureBoxDC
0x01053C|2|3332|Res|Ina|Ena|Hid|x|ThunderRT6PictureBoxDC
0x01053E|2|3332|Res|Ina|Ena|Hid|x|ThunderRT6PictureBoxDC
0x010564|3|3332|Res|Ina|Ena|Hid|x|ThunderRT6Frame
0x010566|4|3332|Res|Ina|Ena|Vis|x|ThunderRT6PictureBoxDC
0x010568|5|3332|Res|Ina|Ena|Vis|x|ThunderRT6TextBox
0x01056A|5|3332|Res|Ina|Ena|Vis|x|ThunderRT6ComboBox
0x01056E|5|3332|Res|Ina|Ena|Vis|x|ThunderRT6TextBox
0x010570|5|3332|Res|Ina|Ena|Vis|x|ThunderRT6TextBox
0x010572|5|3332|Res|Ina|Ena|Vis|x|ThunderRT6TextBox
0x010574|5|3332|Res|Ina|Ena|Vis|x|ThunderRT6TextBox
0x010576|5|3332|Res|Ina|Ena|Vis|x|ThunderRT6TextBox
0x010578|5|3332|Res|Ina|Ena|Vis|x|ThunderRT6TextBox
0x01057A|5|3332|Res|Ina|Ena|Vis|x|ThunderRT6TextBox
0x010540|3|3332|Res|Ina|Ena|Hid|x|ThunderRT6Frame
0x010542|4|3332|Res|Ina|Ena|Hid|x|&Snapshot
0x010544|4|3332|Res|Ina|Ena|Vis|x|ThunderRT6UserControlDC
0x010546|5|3332|Res|Ina|Ena|Hid|x|ThunderRT6Timer
0x01055E|3|3332|Res|Ina|Ena|Hid|x|ThunderRT6HScrollBar
0x010548|3|3332|Res|Ina|Ena|Hid|x|ThunderRT6Frame
0x01054A|4|3332|Res|Ina|Ena|Vis|x|ThunderRT6PictureBoxDC
0x01054C|3|3332|Res|Ina|Ena|Hid|x|ThunderRT6Frame
0x01054E|4|3332|Res|Ina|Ena|Vis|x|ThunderRT6PictureBoxDC
0x010550|5|3332|Res|Ina|Ena|Vis|x|ThunderRT6ComboBox
0x010554|5|3332|Res|Ina|Ena|Hid|x|ThunderRT6PictureBoxDC
0x010556|5|3332|Res|Ina|Ena|Vis|x|ThunderRT6PictureBoxDC
