File Name	Sample ID	Acquisition Date	Gate	Gated Events	Total Events	X Parameter	Y Parameter	Quad Location	Tube	Panel	Label	Events	% Gated	% Total	X Geo Mean	Y Geo Mean	Median	
.	B6.SP-CD8/CD4	.	.	.	.	.	.	.	tube #6	.	M2	.	15.25	5.87	322.95	.	743.18	
Data.0405.007	B6.SP-B220/CD4	05-Apr-06	No Gate	32665	32665	FSC-H FSC-Height (Linear)	SSC-H SSC-Height (Linear)	.	tube #7	Krishna-1	R1	9993	30.59	.	480.95	222.52	.	
Data.0405.007	B6.SP-B220/CD4	05-Apr-06	G1	9993	32665	FL1-H B220-FITC (Log)	FL2-H CD4-PE (Log)	12, 20	tube #7	Krishna-1	UL	1460	14.61	.	3.73	763.20	.	
Data.0405.007	B6.SP-B220/CD4	05-Apr-06	G1	9993	32665	FL1-H B220-FITC (Log)	FL2-H CD4-PE (Log)	12, 20	tube #7	Krishna-1	UR	257	2.57	.	101.54	114.60	.	
Data.0405.007	B6.SP-B220/CD4	05-Apr-06	G1	9993	32665	FL1-H B220-FITC (Log)	FL2-H CD4-PE (Log)	12, 20	tube #7	Krishna-1	LL	1256	12.57	.	4.51	4.54	.	
Data.0405.007	B6.SP-B220/CD4	05-Apr-06	G1	9993	32665	FL1-H B220-FITC (Log)	FL2-H CD4-PE (Log)	12, 20	tube #7	Krishna-1	LR	7020	70.25	.	204.47	3.05	.	
.	B6.SP-B220/CD4	.	.	.	.	.	.	.	tube #7	.	All	.	100.00	30.59	69.26	.	201.69	
.	B6.SP-B220/CD4	.	.	.	.	.	.	.	tube #7	.	M1	.	27.75	8.49	4.17	.	4.26	
.	B6.SP-B220/CD4	.	.	.	.	.	.	.	tube #7	.	M2	.	72.12	22.06	204.86	.	264.16	
.	B6.SP-B220/CD4	.	.	.	.	.	.	.	tube #7	.	All	.	100.00	30.59	7.88	.	4.26	
.	B6.SP-B220/CD4	.	.	.	.	.	.	.	tube #7	.	M1	.	72.07	22.05	3.70	.	3.85	
.	B6.SP-B220/CD4	.	.	.	.	.	.	.	tube #7	.	M2	.	18.03	5.52	487.70	.	820.47	
Data.0405.008	B6.SP-B220/CXCR4	05-Apr-06	No Gate	30549	30549	FSC-H FSC-Height (Linear)	SSC-H SSC-Height (Linear)	.	tube #8	Krishna-1	R1	10016	32.79	.	476.20	221.56	.	
Data.0405.008	B6.SP-B220/CXCR4	05-Apr-06	G1	10016	30549	FL1-H B220-FITC (Log)	FL2-H CXCR4-PE (Log)	12, 20	tube #8	Krishna-1	UL	37	0.37	.	6.63	34.21	.	
Data.0405.008	B6.SP-B220/CXCR4	05-Apr-06	G1	10016	30549	FL1-H B220-FITC (Log)	FL2-H CXCR4-PE (Log)	12, 20	tube #8	Krishna-1	UR	310	3.10	.	76.21	44.21	.	
Data.0405.008	B6.SP-B220/CXCR4	05-Apr-06	G1	10016	30549	FL1-H B220-FITC (Log)	FL2-H CXCR4-PE (Log)	12, 20	tube #8	Krishna-1	LL	2736	27.32	.	3.85	3.66	.	
Data.0405.008	B6.SP-B220/CXCR4	05-Apr-06	G1	10016	30549	FL1-H B220-FITC (Log)	FL2-H CXCR4-PE (Log)	12, 20	tube #8	Krishna-1	LR	6933	69.22	.	206.07	2.97	.	
.	B6.SP-B220/CXCR4	.	.	.	.	.	.	.	tube #8	.	All	.	100.00	32.79	66.51	.	194.56	
.	B6.SP-B220/CXCR4	.	.	.	.	.	.	.	tube #8	.	M1	.	28.25	9.26	3.97	.	3.96	
.	B6.SP-B220/CXCR4	.	.	.	.	.	.	.	tube #8	.	M2	.	71.63	23.48	202.74	.	259.46	
.	B6.SP-B220/CXCR4	.	.	.	.	.	.	.	tube #8	.	All	.	100.00	32.79	3.45	.	3.37	
.	B6.SP-B220/CXCR4	.	.	.	.	.	.	.	tube #8	.	M1	.	84.54	27.72	3.55	.	3.59	
.	B6.SP-B220/CXCR4	.	.	.	.	.	.	.	tube #8	.	M2	.	4.53	1.49	34.89	.	29.56	
Data.0405.009	B6.SP-B220/CD54	05-Apr-06	No Gate	31598	31598	FSC-H FSC-Height (Linear)	SSC-H SSC-Height (Linear)	.	tube #9	Krishna-1	R1	10008	31.67	.	477.77	220.49	.	
Data.0405.009	B6.SP-B220/CD54	05-Apr-06	G1	10008	31598	FL1-H B220-FITC (Log)	FL2-H CD54-PE (Log)	12, 20	tube #9	Krishna-1	UL	2250	22.48	.	3.98	97.88	.	
Data.0405.009	B6.SP-B220/CD54	05-Apr-06	G1	10008	31598	FL1-H B220-FITC (Log)	FL2-H CD54-PE (Log)	12, 20	tube #9	Krishna-1	UR	6901	68.95	.	210.74	84.59	.	
Data.0405.009	B6.SP-B220/CD54	05-Apr-06	G1	10008	31598	FL1-H B220-FITC (Log)	FL2-H CD54-PE (Log)	12, 20	tube #9	Krishna-1	LL	516	5.16	.	3.49	8.05	.	
Data.0405.009	B6.SP-B220/CD54	05-Apr-06	G1	10008	31598	FL1-H B220-FITC (Log)	FL2-H CD54-PE (Log)	12, 20	tube #9	Krishna-1	LR	341	3.41	.	56.87	8.01	.	
.	B6.SP-B220/CD54	.	.	.	.	.	.	.	tube #9	.	All	.	100.00	31.67	66.85	.	196.32	
.	B6.SP-B220/CD54	.	.	.	.	.	.	.	tube #9	.	M1	.	28.19	8.93	3.98	.	3.96	
